792|10293|1004521|1
7177|12678|1009390|1
7178|12678|1005422|3
7179|12678|1004293|1
7180|12678|1002778|1
7181|12678|1003418|1
7182|12678|1003701|1
9490|13565|1005839|2
13687|15144|1008564|1
13688|15144|1002593|1
13831|15192|1003792|2
17262|16490|1009182|3
17263|16490|1004752|3
17264|16490|1000916|1
17265|16490|1003143|1
17266|16490|1006713|1
26142|19873|1001260|1
26143|19873|1003456|2
26144|19873|1005042|3
42336|26057|1003439|1
42337|26057|1003017|2
42338|26057|1003653|1
64708|34731|1004300|3
64709|34731|1005582|3
64710|34731|1003717|1
64711|34731|1008508|1
64712|34731|1003864|1
64713|34731|1002358|3
64714|34731|1005604|1
64715|34732|1002755|3
64716|34732|1006062|1
64717|34732|1001426|2
71774|37394|1005106|1
84357|42150|1005312|1
84386|42158|1009320|2
86623|43020|1003806|1
86624|43020|1000599|2
86625|43020|1000262|1
87944|43539|1003331|2
88112|43596|1003273|2
93192|45526|1003256|1
95280|46328|1009456|4
96872|46922|1002243|1
103474|49467|1004223|2
104647|49889|1001092|1
104648|49889|1007712|1
104649|49889|1005319|1
104650|49889|1007992|1
104651|49889|1001398|2
114866|53734|1000621|2
114867|53734|1006098|4
118107|54921|1005409|1
118108|54921|1002328|1
118109|54921|1000268|1
118110|54921|1005889|2
118502|55067|1002849|1
118503|55067|1003921|2
118504|55067|1005061|3
123767|57053|1008182|2
123768|57053|1000114|3
127064|58275|1000455|1
127767|58546|1004286|1
127768|58546|1001784|1
133540|60778|1009075|3
133541|60778|1000736|2
144130|64800|1007790|1
177189|77299|1008943|1
177190|77299|1006285|1
177191|77299|1005357|2
182463|79321|1008583|1
182464|79321|1002117|1
182465|79321|1008391|1
188107|81459|1000758|1
190414|82297|1002260|2
190415|82297|1002783|1
190416|82297|1004615|1
198080|85208|1009500|2
213719|91149|1001144|1
213720|91149|1009568|2
213721|91149|1009404|1
215954|91937|1004730|1
216852|92285|1006336|1
217801|92654|1009983|1
217802|92654|1002580|4
225027|95336|1003781|1
225028|95336|1002036|1
233323|98518|1009030|1
234342|98903|1005786|3
245035|102953|1001483|5
249014|104406|1005668|1
252925|105894|1002217|2
252926|105894|1006657|1
270621|112702|1002429|3
272309|113363|1002190|1
272310|113363|1008824|2
272311|113363|1008235|1
273486|113835|1008679|1
273487|113835|1004954|2
282140|117168|1009365|2
308939|127521|1007034|2
310164|127970|1004057|2
310165|127970|1002813|2
310166|127970|1007201|2
311361|128422|1002136|1
311362|128422|1009835|3
314435|129605|1000968|1
316085|130216|1002103|1
316086|130216|1002377|1
318404|131114|1003294|1
318405|131114|1007945|1
318406|131114|1006036|4
318407|131114|1004412|2
320250|131805|1001508|5
324353|133385|1008071|6
326315|134139|1009020|3
326316|134139|1003018|2
